,index,Length,Processed_Text,labels
0,0,111,go jurong point crazy available bugis n great world la e buffet cine got amore wat,0
1,1,29,ok lar joking wif u oni,0
2,2,155,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry question std txt rate c apply 08452810075over18,1
3,3,49,u dun say early hor u c already say,0
4,4,61,nah think go usf life around though,0
5,5,148,freemsg hey darling 3 week word back like fun still tb ok xxx std chgs send 1 50 rcv,1
6,6,77,even brother like speak treat like aid patent,0
7,7,160,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune,0
8,8,158,winner valued network customer selected receivea 900 prize reward claim call 09061701461 claim code kl341 valid 12 hour,1
9,9,154,mobile 11 month u r entitled update latest colour mobile camera free call mobile update co free 08002986030,1
10,10,109,gon na home soon want talk stuff anymore tonight k cried enough today,0
11,11,136,six chance win cash 100 20 000 pound txt csh11 send 87575 cost 150p day 6days 16 tsandcs apply reply hl 4 info,1
12,12,156,urgent 1 week free membership 100 000 prize jackpot txt word claim 81010 c www dbuk net lccltd pobox 4403ldnw1a7rw18,1
13,13,196,searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time,0
14,14,35,date sunday,0
15,15,149,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com n qjkgighjjgcbl,1
16,16,26,oh k watching,0
17,17,81,eh u remember 2 spell name yes v naughty make v wet,0
18,18,58,fine way u feel way gota b,0
19,19,156,england v macedonia dont miss goal team news txt ur national team 87077 eg england 87077 try wale scotland 4txt 20 poboxox36504w45wq 16,1
20,20,41,seriously spell name,0
21,21,49,going try 2 month ha ha joking,0
22,22,53,pay first lar da stock comin,0
23,23,88,aft finish lunch go str lor ard 3 smth lor u finish ur lunch already,0
24,24,57,ffffffffff alright way meet sooner,0
25,25,144,forced eat slice really hungry tho suck mark getting worried know sick turn pizza lol,0
26,26,30,lol always convincing,0
27,27,134,catch bus frying egg make tea eating mom left dinner feel love,0
28,28,75,back amp packing car let know room,0
29,29,64,ahhh work vaguely remember feel like lol,0
30,30,130,wait still clear sure sarcastic x want live u,0
31,31,189,yeah got 2 v apologetic n fallen actin like spoilt child got caught till 2 go badly cheer,0
32,32,29,k tell anything,0
33,33,84,fear fainting housework quick cuppa,0
34,34,159,thanks subscription ringtone uk mobile charged 5 month please confirm replying yes reply charged,1
35,35,123,yup ok go home look timing msg xuhui going learn 2nd may lesson 8am,0
36,36,47,oops let know roommate done,0
37,37,28,see letter b car,0
38,38,27,anything lor u decide,0
39,39,155,hello saturday go texting see decided anything tomo trying invite anything,0
40,40,82,pls go ahead watt wanted sure great weekend abiola,0
41,41,142,forget tell want need crave love sweet arabian steed mmmmmm yummy,0
42,42,172,07732584351 rodger burn msg tried call reply sm free nokia mobile free camcorder please call 08000930705 delivery tomorrow,1
43,43,19,seeing,0
44,44,72,great hope like man well endowed lt gt inch,0
45,45,32,call message missed call,0
46,46,45,get hep b immunisation nigeria,0
47,47,31,fair enough anything going,0
48,48,67,yeah hopefully tyler could maybe ask around bit,0
49,49,148,u know stubborn even want go hospital kept telling mark weak sucker hospital weak sucker,0
50,50,58,thinked first time saw class,0
51,51,124,gram usually run like lt gt half eighth smarter though get almost whole second gram lt gt,0
52,52,80,k fyi x ride early tomorrow morning crashing place tonight,0
53,53,291,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing,0
54,54,120,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv,1
55,55,76,know mallika sherawat yesterday find lt url gt,0
56,56,161,congrats 1 year special cinema pas 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420 ip4 5we 150pm dont miss,1
57,57,34,sorry call later meeting,0
58,58,22,tell reached,0
59,59,40,yes gauti sehwag odi series,0
60,60,108,gon na pick 1 burger way home even move pain killing,0
61,61,48,ha ha ha good joke girl situation seeker,0
62,62,25,part checking iq,0
63,63,56,sorry roommate took forever ok come,0
64,64,110,ok lar double check wif da hair dresser already said wun cut v short said cut look nice,0
65,65,153,valued customer pleased advise following recent review mob awarded 1500 bonus prize call 09066364589,1
66,66,124,today song dedicated day song u dedicate send ur valuable frnds first rply,0
67,67,161,urgent ur awarded complimentary trip eurodisinc trav aco entry41 1000 claim txt dis 87121 18 6 1 50 morefrmmob shracomorsglsuplt 10 ls1 3aj,1
68,68,80,hear new divorce barbie come ken stuff,1
69,69,34,plane give month end,0
70,70,46,wah lucky man save money hee,0
71,71,29,finished class,0
72,72,45,hi babe im home wan na something xx,0
73,73,42,k k performed,0
74,74,20,u call,0
75,75,43,waiting machan call free,0
76,76,73,thats cool gentleman treat dignity respect,0
77,77,50,like people much shy pa,0
78,78,42,operate lt gt,0
79,79,76,still looking job much ta earn,0
80,80,22,sorry call later,0
81,81,32,k call ah,0
82,82,32,ok way home hi hi,0
83,83,36,place man,0
84,84,14,yup next stop,0
85,85,55,call later network urgnt sm,0
86,86,121,real u getting yo need 2 ticket one jacket done already used multis,0
87,87,144,yes started send request make pain came back back bed double coin factory got ta cash nitros,0
88,88,42,really still tonight babe,0
89,89,41,ela kano il download come wen ur free,0
90,90,62,yeah stand close tho catch something,0
91,91,195,sorry pain ok meet another night spent late afternoon casualty mean done stuff42moro includes time sheet sorry,0
92,92,141,smile pleasure smile pain smile trouble pours like rain smile sum1 hurt u smile becoz someone still love see u smiling,0
93,93,139,please call customer service representative 0800 169 6031 10am 9pm guaranteed 1000 cash 5000 prize,1
94,94,107,havent planning buy later check already lido got 530 show e afternoon u finish work already,0
95,95,125,free ringtone waiting collected simply text password mix 85069 verify get usher britney fml,1
96,96,33,watching telugu movie wat abt u,0
97,97,51,see finish load loan pay,0
98,98,185,hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob u ham,0
99,99,57,please text anymore nothing else say,0
100,100,81,okay name ur price long legal wen pick u ave x am xx,0
101,101,76,still looking car buy gone 4the driving test yet,0
102,102,160,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune,0
103,103,183,wow right mean guess gave boston men changed search location nyc something changed cuz signin page still say boston,0
104,104,44,umma life vava umma love lot dear,0
105,105,95,thanks lot wish birthday thanks making birthday truly memorable,0
106,106,43,aight hit get cash,0
107,107,82,would ip address test considering computer minecraft server,0
108,108,115,know grumpy old people mom like better lying always one play joke,0
109,109,30,dont worry guess busy,0
110,110,40,plural noun research,0
111,111,31,going dinner msg,0
112,112,96,ok wif co like 2 try new thing scared u dun like mah co u said loud,0
113,113,159,gent trying contact last weekend draw show 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm,1
114,114,143,wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened,0
115,115,156,entered cabin pa said happy b day bos felt special askd 4 lunch lunch invited apartment went,0
116,116,153,winner u specially selected 2 receive 1000 4 holiday flight inc speak live operator 2 claim 0871277810910p min 18,1
117,117,72,goodo yes must speak friday egg potato ratio tortilla needed,0
118,118,86,hmm uncle informed paying school directly pls buy food,0
119,119,144,private 2004 account statement 07742676969 show 786 unredeemed bonus point claim call 08719180248 identifier code 45239 expires,1
120,120,157,urgent mobile awarded 2000 bonus caller prize 5 9 03 final try contact u call landline 09064019788 box42wr29c 150ppm,1
121,121,53,new address apple pair malarky,0
122,122,156,today voda number ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rate app,1
123,123,52,going sao mu today done 12,0
124,124,40,predict wat time finish buying,0
125,125,20,good stuff,0
126,126,244,know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise,0
127,127,22,room,0
128,128,107,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,0
129,129,28,k k much cost,0
130,130,9,home,0
131,131,39,dear call tmorrow pls accomodate,0
132,132,25,first answer question,0
133,133,126,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr 82277 1 50 sp tyrone,1
134,134,162,want 2 get laid tonight want real dogging location sent direct 2 ur mob join uk largest dogging network bt txting gravel 69888 nt ec2a 31p msg 150p,1
135,135,38,haf msn yijue hotmail com,0
136,136,34,call meet,0
137,137,46,check room befor activity,0
138,138,155,rcv msg chat svc free hardcore service text go 69988 u get nothing u must age verify yr network try,1
139,139,86,got c lazy type forgot lect saw pouch like v nice,0
140,140,33,k text way,0
141,141,27,sir waiting mail,0
142,142,158,swt thought nver get tired little thing 4 lovable person coz somtimes little thing occupy biggest part heart gud ni8,0
143,143,42,know pls open back,0
144,144,25,yes see ya dot,0
145,145,48,whats staff name taking class u,0
146,146,159,freemsg replied text randy sexy female live local luv hear u netcollex ltd 08700621170150p per msg reply stop end,1
147,147,84,ummma call check life begin qatar pls pray hard,0
148,148,33,k deleted contact,0
149,149,30,sindu got job birla soft,0
150,150,45,wine flowing nevering,0
151,151,59,yup thk cine better co need 2 go 2 plaza mah,0
152,152,25,ok ur typical reply,0
153,153,160,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune,0
154,154,384,everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done become one,0
155,155,28,aaooooright work,0
156,156,27,leaving house,0
157,157,157,hello love get interview today happy good boy think missing,0
158,158,124,customer service annoncement new year delivery waiting please call 07046744435 arrange delivery,1
159,159,146,winner u specially selected 2 receive 1000 cash 4 holiday flight inc speak live operator 2 claim 0871277810810,1
160,160,115,keep safe need miss already envy everyone see real life,0
161,161,64,new car house parent new job hand,0
162,162,85,love excited day spend make happy,0
163,163,152,pls stop bootydelious 32 f inviting friend reply yes 434 434 see www sm ac u bootydelious stop send stop frnd 62468,1
164,164,155,bangbabes ur order way u receive service msg 2 download ur content u goto wap bangb tv ur mobile internet service menu,1
165,165,51,place ur point e culture module already,0
166,166,157,urgent trying contact last weekend draw show 900 prize guaranteed call 09061701939 claim code s89 valid 12hrs,1
167,167,74,hi frnd best way avoid missunderstding wit beloved one,0
168,168,67,great escape fancy bridge need lager see tomo,0
169,169,59,yes completely form clark also utter waste,0
170,170,50,sir need axis bank account bank address,0
171,171,94,hmmm thk sure got time hop ard ya go 4 free abt muz call u discus liao,0
172,172,33,time coming later,0
173,173,105,bloody hell cant believe forgot surname mr ill give u clue spanish begin,0
174,174,61,well gon na finish bath good fine night,0
175,175,65,let know got money carlos make call,0
176,176,26,u still going mall,0
177,177,146,turn friend staying whole show back til lt gt feel free go ahead smoke lt gt worth,0
178,178,66,text doesnt reply let know log,0
179,179,126,hi spoke maneesha v like know satisfied experience reply toll free yes,0
180,180,159,lifted hope offer money need especially end month approach hurt studying anyways gr8 weekend,0
181,181,23,lol u trust,0
182,182,65,ok gentleman treat dignity respect,0
183,183,24,guy close,0
184,184,26,going nothing great bye,0
185,185,152,hello handsome finding job lazy working towards getting back net mummy boytoy miss,0
186,186,34,haha awesome minute,0
187,187,149,please call customer service representative freephone 0808 145 4742 9am 11pm guaranteed 1000 cash 5000 prize,1
188,188,55,got xmas radio time get,0
189,189,88,jus reached home go bathe first si using net tell u finish k,0
190,190,72,unique enough find 30th august www areyouunique co uk,1
191,191,185,sorry joined league people dont keep touch mean great deal friend time even great personal cost great week,0
192,192,37,hi finally completed course,0
193,193,111,stop however suggest stay someone able give or every stool,0
194,194,92,hope settled new school year wishin gr8 day,0
195,195,28,gud mrng dear hav nice day,0
196,196,28,u got person story,0
197,197,64,hamster dead hey tmr meet 1pm orchard mrt,0
198,198,131,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx,0
199,199,40,found enc lt gt,0
200,200,28,sent lt gt buck,0
201,201,84,hello darlin ive finished college txt u finish u love kate xxx,0
202,202,174,account refilled successfully inr lt decimal gt keralacircle prepaid account balance r lt decimal gt transaction id kr lt gt,0
203,203,24,goodmorning sleeping ga,0
204,204,25,u call alter 11 ok,0
205,205,64,say like dat dun buy ericsson oso oredi lar,0
206,206,156,entered cabin pa said happy b day bos felt special askd 4 lunch lunch invited apartment went,0
207,207,28,aight yo dat straight dogg,0
208,208,86,please give u connection today lt decimal gt refund bill,0
209,209,39,shoot big load get ready,0
210,210,73,bruv hope great break rewarding semester,0
211,211,26,home always chat,0
212,212,23,k k good study well,0
213,213,24,yup noe leh,0
214,214,31,sound great home,0
215,215,58,finally match heading towards draw prediction,0
216,216,48,tired slept well past night,0
217,217,41,easy ah sen got selected mean good,0
218,218,32,take exam march 3,0
219,219,159,yeah think use gt atm register sure anyway help let know sure ready,0
220,220,25,ok prob take ur time,0
221,221,161,o called ubandu run without installing hard disk use o copy important file system give repair shop,0
222,222,22,sorry call later,0
223,223,119,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh,0
224,224,143,500 new mobile 2004 must go txt nokia 89545 collect today 1 www 4 tc biz 2optout 087187262701 50gbp mtmsg18,1
225,225,69,would really appreciate call need someone talk,0
226,226,137,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo followed ur star sign e g horo aries,1
227,227,30,hey company elama po mudyadhu,0
228,228,165,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy morning,0
229,229,34,dear good morning,0
230,230,109,get gandhipuram walk cross cut road right side lt gt street road turn first right,0
231,231,37,dear going rubber place,0
232,232,33,sorry battery died yeah,0
233,233,48,yes tv always available work place,0
